motif_position,length,observed_layout,representation,anchor_visible_rate,class_motif_visible_rate,any_class_motif_visible_rate,pair_visible_rate,partial_class_prefix_visible_rate,mi_label_pair_visible,mi_label_any_class_visible,mean_context_distance,base_tokens,k5_tokens,full_attention_base_pairs,full_attention_k5_pairs,classifier,accuracy,macro_f1,n_features
138,130,SE130,property_channels,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,130,126,16900,15876,nearest_linear_probe,0.3425925925925926,0.33798107575494113,650
138,130,SE130,rope_property,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,130,126,16900,15876,nearest_linear_probe,0.42592592592592593,0.4247456247456247,2080
138,130,SE130,spaced_kmer_phase,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,130,126,16900,15876,nearest_linear_probe,0.37962962962962965,0.3754061475580463,1984
138,130,SE130,cspaced_property_l2,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,130,126,16900,15876,nearest_linear_probe,0.42592592592592593,0.42484627484627485,147
138,130,SE130,oracle_motif_pair,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,130,126,16900,15876,nearest_linear_probe,0.3333333333333333,0.16666666666666666,11
138,135,SE135,kmer5_count_l2,1.0,0.0,0.0,0.0,0.16944444444444445,0.0,0.0,,135,131,18225,17161,nearest_linear_probe,0.3148148148148148,0.31371406371406374,1024
138,135,SE135,ckmer5_count_l2,1.0,0.0,0.0,0.0,0.16944444444444445,0.0,0.0,,135,131,18225,17161,nearest_linear_probe,0.37962962962962965,0.3761114702291173,512
138,135,SE135,property_channels,1.0,0.0,0.0,0.0,0.16944444444444445,0.0,0.0,,135,131,18225,17161,nearest_linear_probe,0.3425925925925926,0.3398824779421794,675
138,135,SE135,rope_property,1.0,0.0,0.0,0.0,0.16944444444444445,0.0,0.0,,135,131,18225,17161,nearest_linear_probe,0.39814814814814814,0.3942559976806552,2160
138,135,SE135,spaced_kmer_phase,1.0,0.0,0.0,0.0,0.16944444444444445,0.0,0.0,,135,131,18225,17161,nearest_linear_probe,0.37037037037037035,0.36967384097928563,2064
138,135,SE135,cspaced_property_l2,1.0,0.0,0.0,0.0,0.16944444444444445,0.0,0.0,,135,131,18225,17161,nearest_linear_probe,0.4166666666666667,0.41595000573328744,147
138,135,SE135,oracle_motif_pair,1.0,0.0,0.0,0.0,0.16944444444444445,0.0,0.0,,135,131,18225,17161,nearest_linear_probe,0.3333333333333333,0.16666666666666666,11
138,138,SE138,kmer5_count_l2,1.0,0.0,0.0,0.0,0.17777777777777778,0.0,0.0,,138,134,19044,17956,nearest_linear_probe,0.3425925925925926,0.33910053910053906,1024
138,138,SE138,ckmer5_count_l2,1.0,0.0,0.0,0.0,0.17777777777777778,0.0,0.0,,138,134,19044,17956,nearest_linear_probe,0.37037037037037035,0.36726256343041724,512
138,138,SE138,property_channels,1.0,0.0,0.0,0.0,0.17777777777777778,0.0,0.0,,138,134,19044,17956,nearest_linear_probe,0.3611111111111111,0.3560185185185185,690
138,138,SE138,rope_property,1.0,0.0,0.0,0.0,0.17777777777777778,0.0,0.0,,138,134,19044,17956,nearest_linear_probe,0.4166666666666667,0.4146464646464647,2208
138,138,SE138,spaced_kmer_phase,1.0,0.0,0.0,0.0,0.17777777777777778,0.0,0.0,,138,134,19044,17956,nearest_linear_probe,0.3333333333333333,0.3297616798466978,2112
